# uRwell 2nd prototype - geometry of the 31 HV sections
# Extracted with extract_section_geometry.py from
#   /home/rafopar/work/CLAS12/uRWell/Docs/2ndPrototype/DFS3381_export_v2-18-12-2024/DFS3381_activearea.dxf
# Units: mm, origin at the center of the active area,
# +x = right side of DFS3381_TOP.pdf (HV side of sections 1-16).
# Numbering: 1 ... 16 from the right edge inwards (16 = central
# section), 17 ... 31 from the left edge inwards (31 next to 16).
# Format:  'SECTION <n> <n vertices>' followed by the <x y> vertices
# of the closed polygon (last vertex is NOT repeated).
SECTION 1 29
      640.0925     234.2444
      640.0959     234.2700
      640.1007     234.2816
      640.1084     234.2916
      640.1184     234.2993
      640.1300     234.3041
      640.1556     234.3075
      726.7951     234.3075
      726.8196     234.3045
      726.8308     234.3000
      726.8405     234.2930
      726.8483     234.2838
      726.8535     234.2730
      726.8559     234.2612
      726.8553     234.2491
      726.8481     234.2256
      640.1927      41.6589
      640.1813      41.6396
      640.1736      41.6316
      640.1645      41.6256
      640.1542      41.6218
      640.1432      41.6204
      640.1322      41.6215
      640.1219      41.6249
      640.1125      41.6307
      640.1046      41.6385
      640.0987      41.6477
      640.0950      41.6581
      640.0925      41.6805
SECTION 2 33
      565.0925     234.2444
      565.0959     234.2700
      565.1007     234.2816
      565.1084     234.2916
      565.1184     234.2993
      565.1300     234.3041
      565.1556     234.3075
      599.8425     234.3075
      638.8444     234.3075
      638.8700     234.3041
      638.8816     234.2993
      638.8916     234.2917
      638.8993     234.2817
      638.9041     234.2700
      638.9075     234.2444
      638.9075      38.8205
      638.9065      38.8065
      638.9051      38.7997
      638.9003      38.7868
      599.8881     -47.9066
      565.1927    -125.0071
      565.1813    -125.0264
      565.1736    -125.0344
      565.1645    -125.0404
      565.1542    -125.0442
      565.1432    -125.0456
      565.1322    -125.0445
      565.1219    -125.0411
      565.1125    -125.0353
      565.1046    -125.0275
      565.0987    -125.0183
      565.0950    -125.0079
      565.0925    -124.9855
SECTION 3 33
      512.5925     234.2444
      512.5959     234.2700
      512.6007     234.2816
      512.6084     234.2916
      512.6184     234.2993
      512.6300     234.3041
      512.6556     234.3075
      534.8425     234.3075
      563.8444     234.3075
      563.8700     234.3041
      563.8816     234.2993
      563.8916     234.2917
      563.8993     234.2817
      563.9041     234.2700
      563.9075     234.2444
      563.9075    -127.8456
      563.9065    -127.8595
      563.9051    -127.8663
      563.9003    -127.8792
      534.8881    -192.3505
      512.6927    -241.6733
      512.6813    -241.6926
      512.6736    -241.7006
      512.6645    -241.7066
      512.6542    -241.7104
      512.6432    -241.7118
      512.6322    -241.7108
      512.6219    -241.7073
      512.6125    -241.7015
      512.6046    -241.6937
      512.5987    -241.6845
      512.5950    -241.6741
      512.5925    -241.6518
SECTION 4 33
      471.5925     234.2444
      471.5959     234.2700
      471.6007     234.2816
      471.6084     234.2916
      471.6184     234.2993
      471.6300     234.3041
      471.6556     234.3075
      491.8425     234.3075
      511.3444     234.3075
      511.3700     234.3041
      511.3816     234.2993
      511.3916     234.2917
      511.3993     234.2817
